session_id,event_id,request_id,t0_telemetry_received,t1_event_detected,t2_first_token,t3_ai_done,t4_caption_displayed,t5_tts_started,failed,failure_reason
S2,position_change_001,7f300ae9-5ed0-44a6-85ba-c155967558bf,23104.143348,23104.577320,23104.754908,23105.891892,23105.912099,23105.912477,false,
S2,pace_surge_002,78ca329b-a888-46f0-bb56-1e366a53b040,23105.588608,23106.089166,23106.237805,23108.278582,23108.307955,23108.308208,false,
S2,contact_006,bbed9be9-7656-4604-ba61-3b25e17ff84a,23115.727043,23116.200037,23116.496795,23118.694791,23118.732262,23118.740157,false,
S2,pace_surge_007,4a441877-11b7-466e-b581-7962648affaf,23126.840887,23127.339300,23127.505875,23129.451531,23129.477172,23129.477308,false,
S2,contact_009,5933e002-ab0c-4fda-8d4e-0debbe3eed4f,23145.037495,23145.521845,23145.695987,23147.573655,23147.605840,23147.606050,false,
S2,contact_016,5564fec7-fa60-4c32-be02-52a998edd981,23163.755510,23164.251039,23164.756198,23166.934150,23166.964121,23166.967992,false,
S2,pace_surge_017,00f39ad9-0b5b-4a09-ae1b-69d9d416adf9,23181.531455,23181.971147,23182.193429,23184.372962,23184.406643,23184.406857,false,
S2,contact_019,e57616cd-17ae-40ee-9e17-e130d24be248,23190.642082,23191.083071,23191.943934,23194.334712,23194.372268,23194.376322,false,
S2,position_change_020,f430302c-b472-4607-b892-3344bd0c38d9,23201.265201,23201.717272,23201.882922,23203.794077,23203.815103,23203.815300,false,
S2,position_change_023,09bbf6f6-afd7-4f58-afc9-379ae656acdb,23213.870730,23214.357686,23216.437217,23218.755171,23218.788279,23218.788472,false,
S2,position_change_024,6782d5bd-7c11-4293-bb92-a8a0c9035f79,23220.940471,23221.439207,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,battle_025,7e2232cd-3310-4061-8326-598b89c62e9c,23226.549143,23227.019385,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,battle_026,756993fb-f8e5-409f-a698-6c2db5114802,23227.534167,23228.035896,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,position_change_027,02c9fa2d-f267-41ec-a243-6a023b61e0c9,23236.168353,23236.637880,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,pace_surge_028,65909bc5-90a2-4998-873e-dc2f664b482c,23246.313673,23246.782623,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,pace_update_029,735a2ea0-dd22-472e-9a05-6e02ea0a9e84,23260.957924,23261.461822,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,pace_surge_030,06788433-df87-4159-b4c1-776b9832878d,23261.976586,23262.479774,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,pace_update_031,47dd284e-6b74-4a8a-8dfa-d7db04495dc5,23272.116319,23272.605735,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,off_track_032,9734c66b-ecc2-4eb5-8cf5-9a134fefd141,23274.638549,23275.138026,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,pace_update_033,f8b67cd4-9d25-4616-9b50-7daecab6916d,23284.782950,23285.255769,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,pace_update_034,f51c83be-e101-4ddc-88f5-e2d75efe9086,23294.911989,23295.369340,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,pace_surge_035,eef1c276-dc51-44aa-b52e-ce039f1737ab,23301.458299,23301.955612,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,pace_update_036,512f8fed-14ab-47ed-af6a-5ec40a8ab148,23311.601908,23312.076843,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,off_track_037,effb69f3-3fa2-44e1-8a97-1a5942618762,23314.660334,23315.117368,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,pace_update_038,a4d37287-962c-4fbf-b5b4-98cec2de887b,23324.737838,23325.239643,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,battle_039,cc6fd849-467d-45c7-bcd5-7940c0225019,23334.397760,23334.863166,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,pace_update_040,4d3fc353-64df-40f7-935c-48417801fbe1,23344.481102,23344.977858,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,pace_update_041,8431c2de-97eb-4ec5-a298-3380f1727f1e,23354.614645,23355.086596,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,pace_update_042,672e5ce7-f75d-4bd4-a00c-50c66194c2fd,23364.755136,23365.210786,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,pace_surge_043,7a1be306-d2d7-4407-9c24-068da05e47c1,23365.716604,23366.221019,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
S2,pace_update_044,5c5c5bbb-7b89-49c1-b906-636901fa7ee3,23375.912250,23376.374229,,,,,true,"API 400: {""error"":{""message"":""This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. "
